0.000000,0.100000,0.000000,0.000000,0.000000,0.100000,0.000000
0.010000,0.100000,0.001005,0.000000,0.002020,0.100000,0.010000
0.020000,0.100020,0.002010,0.000101,0.004040,0.099960,0.020000
0.030000,0.100061,0.003015,0.000302,0.006059,0.099880,0.030000
0.040000,0.100122,0.004018,0.000603,0.008077,0.099760,0.040000
0.050000,0.100203,0.005021,0.001005,0.010092,0.099600,0.050000
0.060000,0.100304,0.006022,0.001508,0.012104,0.099400,0.060000
0.070000,0.100426,0.007021,0.002111,0.014112,0.099161,0.070000
0.080000,0.100568,0.008017,0.002814,0.016115,0.098881,0.080000
0.090000,0.100730,0.009011,0.003618,0.018112,0.098562,0.090000
0.100000,0.100912,0.010002,0.004523,0.020103,0.098204,0.100000
0.110000,0.101114,0.010989,0.005528,0.022087,0.097805,0.110000
0.120000,0.101336,0.011972,0.006633,0.024063,0.097368,0.120000
0.130000,0.101578,0.012950,0.007839,0.026029,0.096892,0.130000
0.140000,0.101839,0.013924,0.009146,0.027987,0.096376,0.140000
0.150000,0.102121,0.014893,0.010553,0.029933,0.095822,0.150000
0.160000,0.102421,0.015856,0.012060,0.031869,0.095230,0.160000
0.170000,0.102742,0.016813,0.013668,0.033793,0.094599,0.170000
0.180000,0.103081,0.017763,0.015377,0.035704,0.093929,0.180000
0.190000,0.103440,0.018707,0.017186,0.037601,0.093223,0.190000
0.200000,0.103818,0.019644,0.019095,0.039484,0.092478,0.200000
0.210000,0.104215,0.020574,0.021105,0.041352,0.091696,0.210000
0.220000,0.104630,0.021495,0.023216,0.043204,0.090877,0.220000
0.230000,0.105065,0.022409,0.025427,0.045040,0.090022,0.230000
0.240000,0.105517,0.023313,0.027738,0.046858,0.089130,0.240000
0.250000,0.105988,0.024209,0.030150,0.048659,0.088202,0.250000
0.260000,0.106477,0.025095,0.032663,0.050441,0.087239,0.260000
0.270000,0.106984,0.025972,0.035276,0.052203,0.086240,0.270000
0.280000,0.107509,0.026839,0.037989,0.053945,0.085207,0.280000
0.290000,0.108051,0.027695,0.040803,0.055666,0.084139,0.290000
0.300000,0.108610,0.028541,0.043718,0.057366,0.083036,0.300000
0.310000,0.109187,0.029375,0.046733,0.059043,0.081901,0.310000
0.320000,0.109780,0.030198,0.049848,0.060697,0.080731,0.320000
0.330000,0.110390,0.031010,0.053064,0.062328,0.079530,0.330000
0.340000,0.111017,0.031809,0.056381,0.063935,0.078296,0.340000
